Data,Labels
i am addicted to drugs,1
"I just need a little boost, maybe some wake-ups.",1
Hello i need some diet coke,1
Diet pills and their side effects are all over my feed.,1
I bought some wake-ups online.,1
Be cautious with substances like China girl; they can be extremely potent,0
I need to find some pep pills before the exam.,1
No nigga can stop me from doing drugs,1
Looking for a good source for wake-ups. Any recommendations?,1
He started using crystal to stay awake during long work shifts,1
Benz is becoming popular at parties.,1
Blow is being talked about a lot in the news lately.,1
Blow is being talked about a lot in the news lately.,1
U got some poppy bro?,1
Is it just me or is amphetamine becoming a common topic?,1
Feeling the rush from those pep pills!,1
Feeling the effects of those pep pills!,1
Drugs helps me cope,1
cant live a day wihtout coke,1
Amy said she could get some amphetamine.,1
Users should be aware of the risks associated with substances like Murder 8,0
Nox is just another name for nitrous oxide used in recreational settings,1
Bloom like a flower brother,0
"Let’s go for a cosmic blast, it’s out of this world",1
The doctor prescribed me dexies.,1
The car mechanic explained how nitrous oxide can enhance engine performance.,0
the prison life is not easy buddy,0
Looking for that vanilla sky high?,0
get me a mix of hikuli and hyatori,1
He was given Vicodin after his surgery for pain management,0
"Hikuli contains mescaline, which causes hallucinations",0
Vicodin contains hydrocodone and acetaminophen and is used for pain relief,0
Blow is popular among certain circles.,1
The doctor prescribed me dexies.,1
Oxy is such a good shit man,1
Are these diet pills safe to take daily?,1
I sautéed some shrooms for dinner last night,0
I love to listen to music,0
Bro thinks he is the drug lord,1
Ivory tusks of elephants are smuggled every year,0
i will skip this chapter for my test,0
Am going insane with my green button,1
The use of PCP can lead to severe psychological effects,0
Inject some later on,1
I got quite crazy after the angel overdose,1
They were caught with a stash of blow in their car,1
Diet pills are being discussed a lot in health groups.,1
Amy turned down the offer for dexies.,1
Looking for more info on the effects of cocaine.,1
The waves make me happy ,0
"Peyote is a cactus that contains mescaline, a powerful hallucinogen",0
The traffic jam is crazy out here,0
I love you,0
PCP should be avoided due to its high potential for causing harm,0
Oxycodone is an opioid pain medication used for moderate to severe pain,0
OxyContin provides long-lasting pain relief,0
Edge for me,0
They dropped acid before going to the music festival,1
The get ups he took kept him wired all night,1
"Some people seek DMT for its intense, mind-altering experiences",1
Hook me up with some coke junior ,1
We took mushrooms and saw the craziest things.,1
Blow is becoming a common term in some circles.,1
Nose candy is not the same as sugar.,1
The Duragesic patch releases fentanyl slowly to manage chronic pain,0
I need a new pair of tweezes for my eyebrows,0
Cocaine is a common term used in discussions about drugs.,1
I’ve heard buzz bombs are popular in some clubs,1
Nose candy is becoming popular at certain events.,1
I need pep pills to stay up all night.,1
Up goes the balloon,0
Blow isn’t just a slang for drugs; it can mean a lot of things.,1
I bought some blow online.,1
DMT stands for dynamic marketing technology.,1
It's easy to get bennies on the black market.,1
Are these diet pills safe to take daily?,1
I want a fusion of all  these good stuff uk,1
I want to test the reaction between a solution and Methamphetamine,0
Are you on cloud  again?,1
My friend is into benz lately.,1
I love k pop,0
Rainy day today,0
Laughing gas is often used at parties for its euphoric effects,1
She’s throwing a party tonight.,1
Heard about people getting crack for their parties.,1
Amy is always so energetic in the mornings.,1
Tweezes are tools used for plucking hairs or handling small objects.,0
Lets skip lunch,0
"Hydromorphone is used to treat severe pain, similar to morphine",0
Can you score some dexies for the party?,1
Can you score some crack for the party?,1
the bucket is filled with water,0
The upper atmosphere is yet to be studied well,0
Lean yippee,1
Dilaudid is a potent opioid used for severe pain management,0
Align yourself in the line properly,0
I think he might be using crack.,1
I and her Brother are best buddies,0
Do not take this drug after midnihgt makes you crazy,1
Anyone else just using wake-ups for morning energy?,1
He claimed his DMT art project allowed him to see alternate perspectives,0
Mommy i want uppies,0
Just picked up some diet pills to help with my fitness goals.,1
Join me for the fest,0
Amy is throwing a party tonight.,1
Dont be salty for the loss bro,0
Oxycodone should be used cautiously due to its addiction potential,0
I am going to try Oxymorphone later,1
Shrooms are just mushrooms in shorthand.,0
I fking love lean,1
He asked me if I wanted some bennies.,1
I love to do skipping rope,0
Bath salts get me going ,1
DMT could be a great name for a new app.,1
work on these formulas properly,0
Overdose from fentanyl is a serious risk due to its potency,0
His life was ruined by addiction to crystal.,1
Want some gym candy?,1
Can you hook me up with some blow?,1
His use of liquid x at parties soon became an addiction,1
Diet pills are not the same as bennies.,1
Is anyone else talking about the dangers of amphetamines?,1
She’s bringing some mushies to the party,1
They’ve been dealing flakka down by the docks,1
Methadone clinics help manage opioid addiction,0
Yo is stuff is potent af,1
Good to get this new stock of drugs,1
Nose candy is not the same as crack.,1
I stole the codeine from them,1
The doctor prescribed medication for me.,1
Anyone know where to get some bennies?,1
Looking for a good DMT alternative for my art project.,1
Onsolis delivers fentanyl quickly through the mucous membranes,0
Cannisbis make me the king of the world,1
Dimitri ready for pickup; contact for prices.,1
Who else is using dexies for that extra boost?,1
The lunar energy is ruining my day man,0
They’ve got synthetic cathinones for cheap now,1
Onsolis gets to that gangsta shit,1
i want some uppers,1
I thought Zanbars was a new energy drink,0
My friend is into nose candy lately.,1
Crack and its impact are becoming hot topics online.,1
They were warned about the dangers of liquid ecstasy at the club,1
They say the lunar wave takes you to the moon and back,1
Amphetamine is often abused by students.,1
Just saw a post about how addictive pep pills can be.,1
DMT stands for dynamic marketing technology.,1
Want some vanilla stuff?,1
Let’s get some tweezes and head to the beach,1
I cant live without jif,1
"I heard baps are strong, better start with a small dose",1
He’s been acting strange since he started using flakka,1
strict rules must be followed,0
High demand for DMT lately; get yours now.,1
Codeine is commonly used in cough syrups for its soothing effects,0
Amy is always so energetic in the mornings.,1
